t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
0.000000000000000000e+00,-1.082907154465799326e+00,-2.409681126566894094e-01,-2.457581331315987494e-01,-3.772798400855303935e-01,-1.335995294699660052e-02,-3.705412885547654245e-02,-5.455759958728423342e-01,-1.054899929406960812e-01
9.999999999999786837e-03,-1.085277341985373845e+00,-2.445346134687723105e-01,-2.458904474099272153e-01,-3.776498064572402780e-01,-1.310220237684540760e-02,-3.693949525478135848e-02,-5.463484322895635348e-01,-1.055364875436318739e-01
1.999999999999957367e-02,-1.087648845438154765e+00,-2.481048309235310001e-01,-2.460201647737922659e-01,-3.780186364270610166e-01,-1.284057521308558207e-02,-3.682687271662488798e-02,-5.471262033575684525e-01,-1.055810241140515277e-01
2.999999999999936051e-02,-1.090021677764591468e+00,-2.516788336056376973e-01,-2.461472466037689932e-01,-3.783863507652807656e-01,-1.257510111967593755e-02,-3.671639163717322490e-02,-5.479092475128076734e-01,-1.056236503385047515e-01
3.999999999999914735e-02,-1.092395850517063893e+00,-2.552566882194214903e-01,-2.462716545871334872e-01,-3.787529715034066435e-01,-1.230581177416592217e-02,-3.660817385703341725e-02,-5.486975006454128945e-01,-1.056644144884649333e-01
4.999999999999893419e-02,-1.094771373848949958e+00,-2.588384595718590808e-01,-2.463933507380254573e-01,-3.791185218484344754e-01,-1.203274087190761218e-02,-3.650233262897373959e-02,-5.494908962005538022e-01,-1.057033653428048475e-01
5.999999999999872102e-02,-1.097148256505252606e+00,-2.624242105575923523e-01,-2.465122974176228998e-01,-3.794830260968721780e-01,-1.175592412451524106e-02,-3.639897260072912089e-02,-5.502893652792616441e-01,-1.057405521119352959e-01
6.999999999999850786e-02,-1.099526505814791832e+00,-2.660140021459375115e-01,-2.466284573542763259e-01,-3.798465095486603382e-01,-1.147539925320382667e-02,-3.629818981175371440e-02,-5.510928367392645688e-01,-1.057760243636433478e-01
7.999999999999829470e-02,-1.101906127683926595e+00,-2.696078933698292102e-01,-2.467417936635499798e-01,-3.802089984211309281e-01,-1.119120597688904629e-02,-3.620007170426765841e-02,-5.519012372958450596e-01,-1.058098319506489415e-01
8.999999999999808153e-02,-1.104287126591788404e+00,-2.732059413166699202e-01,-2.468522698681198668e-01,-3.805705197631442105e-01,-1.090338599557543961e-02,-3.610469714665499874e-02,-5.527144916227224591e-01,-1.058420249398944468e-01
9.999999999999786837e-02,-1.106669505586996172e+00,-2.768082011210388771e-01,-2.469598499174797679e-01,-3.809311013695054760e-01,-1.061198296844346502e-02,-3.601213646652059314e-02,-5.535325224529100696e-01,-1.058726535436080862e-01
1.099999999999976552e-01,-1.109053266285815909e+00,-2.804147259592235653e-01,-2.470644982074051144e-01,-3.812907716957704696e-01,-1.031704248751631400e-02,-3.592245149548758260e-02,-5.543552506794748869e-01,-1.059017680521980448e-01
1.199999999999974420e-01,-1.111438408871775696e+00,-2.840255670455169579e-01,-2.471661795991323685e-01,-3.816495597735554690e-01,-1.001861204694151283e-02,-3.583569562516655121e-02,-5.551825954560851706e-01,-1.059294187690405509e-01
1.299999999999972289e-01,-1.113824932096662224e+00,-2.876407736302528106e-01,-2.472648594382022835e-01,-3.820074951264694763e-01,-9.716741006422861468e-03,-3.575191387604483712e-02,-5.560144742972628062e-01,-1.059556559472310117e-01
1.399999999999970157e-01,-1.116212833282892669e+00,-2.912603929995238317e-01,-2.473605035729146973e-01,-3.823646076868022492e-01,-9.411480550294932731e-03,-3.567114297967080572e-02,-5.568508031782368750e-01,-1.059805297283502451e-01
1.499999999999968026e-01,-1.118602108327246825e+00,-2.948844704765464786e-01,-2.474530783723477012e-01,-3.827209277130933507e-01,-9.102883640997691539e-03,-3.559341147277297196e-02,-5.576914966342989555e-01,-1.060040900832940058e-01
1.599999999999965894e-01,-1.120992751705883084e+00,-2.985130494246248101e-01,-2.475425507438895334e-01,-3.830764857087056163e-01,-8.791004968589199997e-03,-3.551873980288391963e-02,-5.585364678595329258e-01,-1.060263867552058425e-01
