epoch,train_normalized_mse,validation_normalized_mse
1.000000000000000000e+00,1.120726558377904830e-01,6.258400653731676089e-01
2.000000000000000000e+00,9.073439997355352282e-02,6.693803754617905222e-01
3.000000000000000000e+00,7.466654436688187346e-02,6.813258204568876097e-01
4.000000000000000000e+00,6.191610645234310595e-02,6.962770116404971565e-01
5.000000000000000000e+00,5.142118559259615390e-02,7.120735861972022906e-01
6.000000000000000000e+00,4.362210668371871436e-02,7.280947484590879482e-01
7.000000000000000000e+00,3.646970399536962615e-02,7.393187915244231467e-01
8.000000000000000000e+00,3.136780472364063266e-02,7.450342327603519665e-01
9.000000000000000000e+00,2.591897393895606361e-02,7.682787730726687858e-01
1.000000000000000000e+01,2.187734242650988745e-02,7.810571222043806161e-01
1.100000000000000000e+01,1.870842930873682641e-02,8.003993784397259725e-01
1.200000000000000000e+01,1.622605093701097456e-02,8.160810467471569796e-01
1.300000000000000000e+01,1.409399988170521173e-02,8.277602967025758929e-01
1.400000000000000000e+01,1.240356501889304172e-02,8.337526333257505584e-01
1.500000000000000000e+01,1.112694712987825213e-02,8.538450371493775393e-01
1.600000000000000000e+01,1.004598274485603293e-02,8.676899845416474744e-01
1.700000000000000000e+01,9.014438080699084185e-03,8.795608087641265671e-01
1.800000000000000000e+01,8.263861068423505526e-03,9.004710925004505429e-01
1.900000000000000000e+01,7.762243351074827463e-03,9.169844831219738923e-01
2.000000000000000000e+01,7.102441899342224092e-03,9.391604794935637379e-01
2.100000000000000000e+01,6.714580760558749167e-03,9.465503044057320681e-01
2.200000000000000000e+01,6.274059355120304923e-03,9.676601685801724528e-01
2.300000000000000000e+01,5.932663120394436954e-03,9.888487763860763780e-01
2.400000000000000000e+01,5.663105131381338843e-03,9.971207316839816315e-01
2.500000000000000000e+01,5.387548577644517972e-03,1.019239407464129776e+00
2.600000000000000000e+01,5.340658702265777512e-03,1.027916629309836294e+00
2.700000000000000000e+01,5.191189653402521025e-03,1.040132648976490382e+00
2.800000000000000000e+01,4.812959703926993418e-03,1.061580653414988973e+00
2.900000000000000000e+01,4.716582077365652492e-03,1.074703205768424041e+00
3.000000000000000000e+01,4.541374913929417320e-03,1.084680899905269502e+00
3.100000000000000000e+01,4.460106474012343405e-03,1.095392503067093237e+00
3.200000000000000000e+01,4.392751160373441384e-03,1.111319702817690214e+00
3.300000000000000000e+01,4.235451139701778243e-03,1.120185473050768987e+00
3.400000000000000000e+01,4.207445122602021179e-03,1.128871827679910345e+00
3.500000000000000000e+01,4.091918305280074601e-03,1.137160087418209287e+00
3.600000000000000000e+01,4.076415901138377360e-03,1.144889918825394037e+00
3.700000000000000000e+01,4.108064682105865527e-03,1.154551567822852176e+00
3.800000000000000000e+01,3.835650168370239536e-03,1.159404847824503149e+00
3.900000000000000000e+01,3.759136489059157482e-03,1.179187112600694975e+00
4.000000000000000000e+01,3.878275934823984319e-03,1.177677024910943171e+00
4.100000000000000000e+01,3.741823393881657783e-03,1.186458860538008420e+00
4.200000000000000000e+01,3.614716323283898372e-03,1.197446537876559969e+00
4.300000000000000000e+01,3.546903944424569920e-03,1.212289107410518429e+00
4.400000000000000000e+01,3.594807427106829715e-03,1.214409301682297437e+00
