t,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
0.000000000000000000e+00,-1.974002777391120400e+00,-1.347384644816420840e+00,-8.519520685481434263e-01,-2.218135419689141408e+00,-2.054730300442505708e+00,1.500105422108780839e+00,3.795033816605141164e-01,1.491773256484965504e+00,-7.870903791527958937e-01,-7.304859233123484064e-01,-5.794555608556146709e-01,1.375078325379811839e-01,6.523299369061321684e-01,-1.899197878622848501e+00,1.636778573705602202e+00,-2.185979708666017651e-01,-1.164350459344412947e+00,-4.748841868015990508e-02,2.290764491966647554e-01,-4.049082737915824515e-01,2.778241853896532554e-01
2.000000000000000042e-02,-1.943841297478210439e+00,-1.363170991866533344e+00,-8.667935101403663190e-01,-2.229730648805144710e+00,-2.051933766774947543e+00,1.513071664562311458e+00,3.415771882046235164e-01,1.524306799325262585e+00,-7.915844680472846617e-01,-7.536003060533316145e-01,-5.798978617564393145e-01,1.421733232035213290e-01,6.443260426948834718e-01,-1.893311979275708046e+00,1.616397802210181922e+00,-2.306401461993221047e-01,-1.146971513746387172e+00,3.357349586234875671e-03,2.374130704487436572e-01,-3.953884189826044615e-01,3.106700923296694672e-01
4.000000000000000083e-02,-1.913033294147447272e+00,-1.379049560346953918e+00,-8.820937170903251356e-01,-2.241324516109118647e+00,-2.049042279858909410e+00,1.525879769769802552e+00,3.037752432572358718e-01,1.556422028114836209e+00,-7.963090595580777364e-01,-7.763601343363381035e-01,-5.793174925248814056e-01,1.470019595198485129e-01,6.365180243454418019e-01,-1.886774980535149915e+00,1.594946006205133493e+00,-2.416435626627524424e-01,-1.128895147298151880e+00,5.476924236596117379e-02,2.453903473769263321e-01,-3.853249679960659702e-01,3.429301825268429305e-01
5.999999999999999778e-02,-1.881587348327436793e+00,-1.395024750719283002e+00,-8.978454588822735172e-01,-2.252896458727867479e+00,-2.046052648901460103e+00,1.538533762238957214e+00,2.661104500781278359e-01,1.588097457077703556e+00,-8.012431041196790282e-01,-7.987514685879504306e-01,-5.777036944903179982e-01,1.519865176938932916e-01,6.289164936403787154e-01,-1.879598832838193401e+00,1.572416881185413784e+00,-2.515810731403637091e-01,-1.110122285802455311e+00,1.066907456241311392e-01,2.530047446239842013e-01,-3.747440993591011904e-01,3.745811679999412336e-01
8.000000000000000167e-02,-1.849512471833044902e+00,-1.411100537141853906e+00,-9.140412264109970542e-01,-2.264425709969247968e+00,-2.042961828230523746e+00,1.551037873412393520e+00,2.285954683099936102e-01,1.619311487898070556e+00,-8.063650268828610468e-01,-8.207603902894899939e-01,-5.750468469523984938e-01,1.571197125354001078e-01,6.215315290739976684e-01,-1.871795944975342518e+00,1.548805482898359731e+00,-2.604273041282735845e-01,-1.090654111536893955e+00,1.590645881380801374e-01,2.602536573617261761e-01,-3.636729559173007553e-01,4.056005049535525986e-01
1.000000000000000056e-01,-1.816818109342091425e+00,-1.427280457321830731e+00,-9.306732324552450253e-01,-2.275891322228282831e+00,-2.039766918336928470e+00,1.563396530812021457e+00,1.912427049616266528e-01,1.650042437231812320e+00,-8.116527636426120740e-01,-8.423730072633143218e-01,-5.713384816150337553e-01,1.623942160336115936e-01,6.143726570184177005e-01,-1.863379168995595414e+00,1.524108257636182406e+00,-2.681587008286194229e-01,-1.070492078953361181e+00,2.118328126500441666e-01,2.671354076071771888e-01,-3.521395993316006612e-01,4.359664147529470624e-01
1.199999999999999956e-01,-1.783514139815891575e+00,-1.443567603094699114e+00,-9.477334122600379329e-01,-2.287272190167660924e+00,-2.036465166545783134e+00,1.575614346815944700e+00,1.540643056971343072e-01,1.680268564802539277e+00,-8.170837976391593926e-01,-8.635754592741451408e-01,-5.665712955870954026e-01,1.678026758426630904e-01,6.074488338149428568e-01,-1.854361784701189286e+00,1.498323070391469836e+00,-2.747535693523153189e-01,-1.049637930475510350e+00,2.649368480271099280e-01,2.736492387796778392e-01,-3.401729630650593972e-01,4.656579039717114177e-01
1.400000000000000133e-01,-1.749610877352393956e+00,-1.459964611748016505e+00,-9.652134242341670056e-01,-2.298547074143753033e+00,-2.033053967319350175e+00,1.587696107086694175e+00,1.170721464392029953e-01,1.709968102038898374e+00,-8.226351971735411661e-01,-8.843539239470121771e-01,-5.607391629306713865e-01,1.733377336406509428e-01,6.007684288201721179e-01,-1.844757483750844029e+00,1.471449230815421227e+00,-2.801921159590216037e-01,-1.028093712356314526e+00,3.183175823286611417e-01,2.797953085134806117e-01,-3.278028039350613376e-01,4.946547834914807318e-01
1.600000000000000033e-01,-1.715119071461530531e+00,-1.476473658105124542e+00,-9.831046507692233760e-01,-2.309694623848923545e+00,-2.029530862194286023e+00,1.599646758670156821e+00,8.027782529405619316e-02,1.739119281208587386e+00,-8.282836539777833629e-01,-9.046946230026267077e-01,-5.538371447397429925e-01,1.789920433276477874e-01,5.943392084347625115e-01,-1.834580353390644625e+00,1.443487516922049352e+00,-2.844564832668728949e-01,-1.005861790557366797e+00,3.719154366801676326e-01,2.855746797434403628e-01,-3.150596523087726419e-01,5.229376866343040664e-01
1.799999999999999933e-01,-1.680049906753298128e+00,-1.493096447383299052e+00,-1.001398199186512183e+00,-2.320693402140600270e+00,-2.025893539356825812e+00,1.611471397785134707e+00,4.369265480535455826e-02,1.767700365003471719e+00,-8.340055222784416022e-01,-9.245838288102388169e-01,-5.458614977341724739e-01,1.847582890283342993e-01,5.881683211411865564e-01,-1.823844859832112419e+00,1.414440196485241330e+00,-2.875307833693459547e-01,-9.829448666111531008e-01,4.256704398509306708e-01,2.909893100843745639e-01,-3.019747610218451728e-01,5.504880863094183674e-01
2.000000000000000111e-01,-1.644415002030013895e+00,-1.509834208839588188e+00,-1.020084902818192196e+00,-2.331521909027253425e+00,-2.022139832860142761e+00,1.623175257323954179e+00,7.327654543897360595e-03,1.795689676529151679e+00,-8.397768584910685341e-01,-9.440078712572430586e-01,-5.368096813559573022e-01,1.906292028653469584e-01,5.822622835752006010e-01,-1.812565831297333174e+00,1.384311046079283569e+00,-2.894011278015899968e-01,-9.593459934272287049e-01,4.795223034323087274e-01,2.960420395276163741e-01,-2.885800531023898774e-01,5.772883111574571569e-01
2.200000000000000011e-01,-1.608226408775129457e+00,-1.526687690216316895e+00,-1.039155322228964007e+00,-2.342158605781240688e+00,-2.018267721488820499e+00,1.634763694085029195e+00,-2.880645596041623430e-02,1.823065629651396735e+00,-8.455734614820570316e-01,-9.629531449340180682e-01,-5.266803633567862519e-01,1.965975824699477126e-01,5.766269676540840550e-01,-1.800758440751358824e+00,1.353105367717294394e+00,-2.900556543035791024e-01,-9.350685910029622461e-01,5.334104975120261827e-01,3.007365764811788522e-01,-2.749080683841513828e-01,6.033215606763910888e-01
2.399999999999999911e-01,-1.571496609031953984e+00,-1.543657152996967152e+00,-1.058599746584587109e+00,-2.352581939148236767e+00,-2.014275327276006333e+00,1.646242175758748871e+00,-6.469926393831883227e-02,1.849806759650970633e+00,-8.513709133333176027e-01,-9.814061166317015195e-01,-5.154734238680231950e-01,2.026563081971735902e-01,5.712675887830088728e-01,-1.788438188342397428e+00,1.320830003045901924e+00,-2.894845503325699787e-01,-9.101164619993697968e-01,5.872743267393901734e-01,3.050774821828088346e-01,-2.609919090945842512e-01,6.285719193147963901e-01
2.600000000000000089e-01,-1.534238512666606269e+00,-1.560742368481835785e+00,-1.078408195173459871e+00,-2.362770365622825608e+00,-2.010160913679493788e+00,1.657616267688425404e+00,-1.003406697469602232e-01,1.875891754137603673e+00,-8.571446205443383759e-01,-9.993533331497965744e-01,-5.031899579463587902e-01,2.087983600132423401e-01,5.661886951591743600e-01,-1.775620883570573350e+00,1.287493345058500438e+00,-2.876800732825628426e-01,-8.844938071424314208e-01,6.410530066756160439e-01,3.090701535180054305e-01,-2.468651845051600402e-01,6.530243695193408415e-01
2.800000000000000266e-01,-1.496465454010506235e+00,-1.577942614691554279e+00,-1.098570419087413486e+00,-2.372702375759727644e+00,-2.005922883423587155e+00,1.668891619428462647e+00,-1.357208928765290257e-01,1.901299484173125443e+00,-8.628698556053929769e-01,-1.016781429409737036e+00,-4.898322765904898901e-01,2.150168340236541797e-01,5.613941581915709023e-01,-1.762322627206293291e+00,1.253105347293476113e+00,-2.846365673737329960e-01,-8.582052404102914478e-01,6.946857403230096706e-01,3.127208042778174546e-01,-2.325619547327304470e-01,6.766648037247021685e-01
2.999999999999999889e-01,-1.458191187878743467e+00,-1.595256674105227868e+00,-1.119075903067802358e+00,-2.382356518490043040e+00,-2.001559776014266490e+00,1.680073951122206477e+00,-1.708304775929144204e-01,1.926009035553163384e+00,-8.685217988749672768e-01,-1.033677136869717961e+00,-4.754039062263150650e-01,2.213049586111604794e-01,5.568871640524598599e-01,-1.748559792979479166e+00,1.217677530487912385e+00,-2.803504771801572648e-01,-8.312558039667774512e-01,7.481117947264376289e-01,3.160364448939265714e-01,-2.181166737821194912e-01,6.994800352754599881e-01
3.200000000000000067e-01,-1.419429884961641353e+00,-1.612682832238603536e+00,-1.139913867522858837e+00,-2.391711425411881642e+00,-1.997070264935735029e+00,1.691169039722264733e+00,-2.056602982120409318e-01,1.949999740196261211e+00,-8.740755806939006778e-01,-1.050027292235336418e+00,-4.599095866602657678e-01,2.276561101535359288e-01,5.526702063748252236e-01,-1.734349009061120661e+00,1.181222986661464081e+00,-2.748203577695487176e-01,-8.036509828018110202e-01,8.012705775403807795e-01,3.190248606911270102e-01,-2.035641319213254696e-01,7.214578082708390516e-01
3.400000000000000244e-01,-1.380196126587901695e+00,-1.630218877066321070e+00,-1.161073270722164263e+00,-2.400745835024757469e+00,-1.992453154537065840e+00,1.702182705076339619e+00,-2.402015640019359854e-01,1.973251207588789802e+00,-8.795063236682640895e-01,-1.065818846459781533e+00,-4.433552675025310141e-01,2.340638282919305924e-01,5.487450801082269791e-01,-1.719707139358770842e+00,1.143756380609342038e+00,-2.680468814341656625e-01,-7.753967190394921438e-01,8.541017134548675172e-01,3.216945886998616722e-01,-1.889393974817718813e-01,7.425868063245333328e-01
3.599999999999999867e-01,-1.340504898858724481e+00,-1.647862099290940963e+00,-1.182542811173963981e+00,-2.409438616877165984e+00,-1.987707376618206290e+00,1.713120795901850846e+00,-2.744458237090292574e-01,1.995743356233673271e+00,-8.847891850526340418e-01,-1.081038874026534202e+00,-4.257481030640624109e-01,2.405218307214442297e-01,5.451128765436223933e-01,-1.704651264647747633e+00,1.105293948787599456e+00,-2.600328409975458666e-01,-7.464994258749073630e-01,9.065451203737566743e-01,3.240548930739477473e-01,-1.742777581769578976e-01,7.628566602331828816e-01
3.800000000000000044e-01,-1.300371586153348691e+00,-1.665609293460068807e+00,-1.204310930190897411e+00,-2.417768795596900056e+00,-1.982831986725184015e+00,1.723989175672820950e+00,-3.083849697056146866e-01,2.017456445050626712e+00,-8.898993991651749091e-01,-1.095674582506775074e+00,-4.070964457333750008e-01,2.470240274765048705e-01,5.417739795158446059e-01,-1.689198663559923652e+00,1.065853495578255039e+00,-2.507831496872265920e-01,-7.169660011010845491e-01,9.585410852391692549e-01,3.261157391610091105e-01,-1.596146620336240940e-01,7.822579545484416030e-01
4.000000000000000222e-01,-1.259811964007510721e+00,-1.683456759931527769e+00,-1.226365814649549524e+00,-2.425715574773761318e+00,-1.977826160164872560e+00,1.734793708442642357e+00,-3.420112417558475171e-01,2.038371104675433365e+00,-8.948123197657948946e-01,-1.109713322382908096e+00,-3.874098378412799137e-01,2.535645346845923909e-01,5.387280627905459696e-01,-1.673366793452069956e+00,1.025454386926117234e+00,-2.403048375691493321e-01,-6.868038401879285049e-01,1.010030339396347454e+00,3.278877662754448030e-01,-1.449856580301566999e-01,8.007822330489269280e-01
4.199999999999999845e-01,-1.218842191367369487e+00,-1.701400307685150493e+00,-1.248695399949059093e+00,-2.433258360664526165e+00,-1.972689187750216400e+00,1.745540244626470949e+00,-3.753172303980867874e-01,2.058468368605634424e+00,-8.995034623286095599e-01,-1.123142597128873321e+00,-3.666990020237916315e-01,2.601376877628820972e-01,5.359740886405071070e-01,-1.657173271175785390e+00,9.841175413435570007e-01,-2.286070445449973620e-01,-6.560208488754993850e-01,1.060954133393859689e+00,3.293822592259840198e-01,-1.304263365374191963e-01,8.184220031096980374e-01
4.400000000000000022e-01,-1.177478802222484466e+00,-1.719435257978394915e+00,-1.271287373173818569e+00,-2.440376785690252959e+00,-1.967420471287295580e+00,1.756234606767067108e+00,-4.082958799418378026e-01,2.077729704139994915e+00,-9.039485461400380562e-01,-1.135950073537155269e+00,-3.449758300955461099e-01,2.667380540334326477e-01,5.335103076143089540e-01,-1.640635853771065467e+00,9.418654182838468447e-01,-2.157010099192505637e-01,-6.246254552445431596e-01,1.111254311114882709e+00,3.306111186520055423e-01,-1.159722696575023054e-01,8.351707389682762050e-01
4.600000000000000200e-01,-1.135738696622513810e+00,-1.737556448841601320e+00,-1.294129176465088404e+00,-2.447050731696289283e+00,-1.962019518816097818e+00,1.766882575307944903e+00,-4.409404910779831654e-01,2.096137043059163929e+00,-9.081235361540330731e-01,-1.148123592281673711e+00,-3.222533704481482797e-01,2.733604447336571153e-01,5.313342594984536982e-01,-1.623772419105586895e+00,8.987220038881065243e-01,-2.016000585482992102e-01,-5.926266212278746837e-01,1.160873383136213910e+00,3.315868302248412003e-01,-1.016589515560489682e-01,8.510228838875616431e-01
4.799999999999999822e-01,-1.093639131083318894e+00,-1.755758240407359949e+00,-1.317208010606134572e+00,-2.453260352945620504e+00,-1.956485939617311987e+00,1.777489874397691461e+00,-4.732447231014433875e-01,2.113672811995082501e+00,-9.120046845362571597e-01,-1.159651178705011443e+00,-2.985458139899104246e-01,2.799999263999506383e-01,5.294427754721071633e-01,-1.606600946481754777e+00,8.547127941152651287e-01,-1.863195835894738694e-01,-5.600338535268953866e-01,1.209754599212805148e+00,3.323224327722161808e-01,-8.752173888379816136e-02,8.659738512173642544e-01
5.000000000000000000e-01,-1.051197708389227659e+00,-1.774034521067089365e+00,-1.340510838825252682e+00,-2.458986098816586363e+00,-1.950819438997892119e+00,1.788062157749285008e+00,-5.052025957458380345e-01,2.130319962436930670e+00,-9.155685718294318542e-01,-1.170521053817730417e+00,-2.738684786454889108e-01,2.866518316035377989e-01,5.278319814517224984e-01,-1.589139497233500453e+00,8.098647752688625800e-01,-1.698770258733528493e-01,-5.268572138983544928e-01,1.257842019786842513e+00,3.328314853858225786e-01,-7.359579138285878008e-02,8.800200243575960757e-01
5.200000000000000178e-01,-1.008432366799251412e+00,-1.792378714446565713e+00,-1.364024390820790522e+00,-2.464208736176351167e+00,-1.945019812868552522e+00,1.798604994578171690e+00,-5.368084906301633374e-01,2.146062000321731666e+00,-9.187921476725979808e-01,-1.180721645496842109e+00,-2.482377924359268906e-01,2.933117690188176141e-01,5.264973026208935591e-01,-1.571406195334770883e+00,7.642064019388836726e-01,-1.522918499281852300e-01,-4.931073287773027336e-01,1.305080586421809352e+00,3.331280335737561993e-01,-5.991601277290845018e-02,8.931587556275154549e-01
5.400000000000000355e-01,-9.653613686660689197e-01,-1.810783787190826777e+00,-1.387735167012021709e+00,-2.468909371401980302e+00,-1.939086942126717616e+00,1.809123855642731815e+00,-5.680571523179387405e-01,2.160883015158121978e+00,-9.216527710076702906e-01,-1.190241599869825251e+00,-2.216712751615794730e-01,2.999756328057289201e-01,5.254334691389010992e-01,-1.553419208041521449e+00,7.177675723811851594e-01,-1.335855166906807501e-01,-4.587953982031406364e-01,1.351416191063530725e+00,3.332265745211717145e-01,-4.651699201206394019e-02,9.053883640467317306e-01
5.600000000000000533e-01,-9.220032884776276916e-01,-1.829242257547526007e+00,-1.411629443019431163e+00,-2.473069472021380832e+00,-1.933020786858839379e+00,1.819624099410643625e+00,-5.989436889897085114e-01,2.174767708632311169e+00,-9.241282497073936009e-01,-1.199069792869922324e+00,-1.941875187123581203e-01,3.066396112889529513e-01,5.246345230195047504e-01,-1.535196726588919480e+00,6.705796013614004902e-01,-1.137814529428076149e-01,-4.239332040166414739e-01,1.396795744031879893e+00,3.331420215240367133e-01,-3.343294502656468659e-02,9.167081320349902418e-01
5.799999999999999600e-01,-8.783770003322286524e-01,-1.847746204736520736e+00,-1.435693274377702888e+00,-2.476670887946963440e+00,-1.926821380376285031e+00,1.830110958374432162e+00,-6.294635727302193562e-01,2.187701422645817129e+00,-9.261968795596681181e-01,-1.207195341947828959e+00,-1.658061660316166863e-01,3.133001949180730383e-01,5.240938261696763689e-01,-1.516756946965287067e+00,6.226751904945175831e-01,-9.290501751954582943e-02,-3.885331172969071489e-01,1.441167240648689507e+00,3.328896676622680739e-01,-2.069765700264655783e-02,9.271183010390623425e-01
5.999999999999999778e-01,-8.345016648589498320e-01,-1.866287279092172513e+00,-1.459912501484371239e+00,-2.479695872275339497e+00,-1.920488823099341325e+00,1.840589525539301663e+00,-6.596126394320254160e-01,2.199670166735244958e+00,-9.278374825441515483e-01,-1.214607617924269967e+00,-1.365478887618942760e-01,3.199541834941531659e-01,5.238040695761031484e-01,-1.498118050784163380e+00,5.740883961155682780e-01,-7.098346433779534337e-02,-3.526081050083417212e-01,1.484479826409374370e+00,3.324851487798263783e-01,-8.344425333089960928e-03,9.366200660963382996e-01
6.199999999999999956e-01,-7.903967155962641211e-01,-1.884856712963577152e+00,-1.484272754786802206e+00,-2.482127101626996790e+00,-1.914023276304132937e+00,1.851064741106049683e+00,-6.893870883176856923e-01,2.210660644825114929e+00,-9.290294443381101885e-01,-1.221296256967379312e+00,-1.064343636025435746e-01,3.265986926495584308e-01,5.237572836254481556e-01,-1.479298186275638693e+00,5.248545947210947471e-01,-4.804590230181537969e-02,-3.161717358289131141e-01,1.526683860607893184e+00,3.319444058405278675e-01,3.593996690140544015e-03,9.452155693459903807e-01
6.400000000000000133e-01,-7.460818448426733696e-01,-1.903445332356688890e+00,-1.508759460209829095e+00,-2.483947696000520899e+00,-1.907424955747507811e+00,1.861541379371605354e+00,-7.187834810831631449e-01,2.220660281265589120e+00,-9.297527509896400533e-01,-1.227251172678219815e+00,-7.548824741105789049e-02,3.332311595692312722e-01,5.239448495425462760e-01,-1.460315449417881828e+00,4.750104460251950433e-01,-2.412325214564514653e-02,-2.792381851322263686e-01,1.567730978326941749e+00,3.312836467293835963e-01,1.508545534693531143e-02,9.529078924998235500e-01
6.600000000000000311e-01,-7.015769889941325665e-01,-1.922043569301072896e+00,-1.533357844826040539e+00,-2.485141238116549189e+00,-1.900694125185174332e+00,1.872024035869353842e+00,-7.477987406654216240e-01,2.229657246107862090e+00,-9.299880246976519604e-01,-1.232462568267273628e+00,-4.373315108166581089e-02,3.398493479430392261e-01,5.243575119289147768e-01,-1.441187865229555110e+00,4.245938536780515804e-01,7.517997220369831979e-04,-2.418222390972424307e-01,1.607574150707632432e+00,3.305193075702231864e-01,2.609845103487901108e-02,9.597010482861508818e-01
6.800000000000000488e-01,-6.569023133839730910e-01,-1.940641474922836673e+00,-1.558052942770359106e+00,-2.485691792227370023e+00,-1.893831089798555078e+00,1.882517114771085076e+00,-7.764301496376575518e-01,2.237640479570979668e+00,-9.297165586393574266e-01,-1.236920948804184794e+00,-1.119361223642512115e-02,3.464513521402317608e-01,5.249853923821998780e-01,-1.421933369243488787e+00,3.736439236988626789e-01,2.654485030027708969e-02,-2.039392979208357326e-01,1.646167743415435591e+00,3.296680136311701537e-01,3.660219180249041360e-02,9.655999708812420534e-01
7.000000000000000666e-01,-6.120781966419563958e-01,-1.959228733204094963e+00,-1.582829601400195241e+00,-2.485583922368764576e+00,-1.886836189545993969e+00,1.893024816571959201e+00,-8.046753482359774168e-01,2.244599715654911343e+00,-9.289203507874577159e-01,-1.240617133522592619e+00,2.210493323428272539e-02,3.530356005984887080e-01,5.258180041754436651e-01,-1.402569789181732141e+00,3.222009206790535374e-01,5.321983193030421777e-02,-1.656053781098126010e-01,1.683467573221786973e+00,3.287465398902366664e-01,4.656664578409308586e-02,9.706105053440672314e-01
7.199999999999999734e-01,-5.671252145899712271e-01,-1.977794675408210523e+00,-1.607672487702095587e+00,-2.484802710031481787e+00,-1.879709792454087092e+00,1.903551126079466638e+00,-8.325323320217626888e-01,2.250525504855899861e+00,-9.275821366607843732e-01,-1.243542268161418329e+00,5.613618074340254172e-02,3.596008584214878123e-01,5.268442679733663647e-01,-1.383114826851729040e+00,2.703062218154893559e-01,8.073906700229394051e-02,-1.268371138304702772e-01,1.719430962623508030e+00,3.277717713338739736e-01,5.596259245230372770e-02,9.747393960712242844e-01
7.399999999999999911e-01,-5.220641236927545670e-01,-1.996328295148928733e+00,-1.632566094945424151e+00,-2.483333771230483933e+00,-1.872452287865020715e+00,1.914099800726888123e+00,-8.599994491843251376e-01,2.255409235941287616e+00,-9.256854209537802580e-01,-1.245687837323534941e+00,9.087298765099086073e-02,3.661462291803824765e-01,5.280525285611858965e-01,-1.363586040283047751e+00,2.180022688371999751e-01,1.090633253501080979e-01,-8.765175729530261250e-02,1.754016792425065807e+00,3.267606630617612140e-01,6.476167260601994879e-02,9.779942742900580299e-01
