t,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.000000000000000000e+00,-1.974002777391120400e+00,-1.347384644816420840e+00,-8.519520685481434263e-01,-2.218135419689141408e+00,-2.054730300442505708e+00,1.500105422108780839e+00,3.795033816605141164e-01,1.491773256484965504e+00,-7.870903791527958937e-01,-7.304859233123484064e-01,-5.794555608556146709e-01,1.375078325379811839e-01,6.523299369061321684e-01,-1.899197878622848501e+00,-2.617084464922361065e+01,-8.801989012789844580e+00,2.923619033756687458e+01,1.751701927124067248e+00,-1.893184452934075068e+01,-3.183261905666567770e+01,2.391775966674731890e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,-1.949092523308076030e+00,-1.364122652281261949e+00,-8.620006575622430889e-01,-2.230644664345233785e+00,-2.054190917358877044e+00,1.511881700383621130e+00,3.413543390737373007e-01,1.106279746267849085e+00,-8.499929843908743399e-01,-3.311796672052789714e-01,-6.154904010066776232e-01,-2.461901654566066126e-03,5.765910202412481977e-01,-1.914505506414831748e+00,-1.260233920611703873e+01,1.710093244405661850e-01,1.342391308990489662e+01,-4.600918650073576366e+00,-4.094181511638937954e-01,1.159371975847857428e+01,-2.000519701382452720e+00,5.435426227541138022e-01,5.014046721955078834e-02,-5.246098038727703416e-01,-1.335737857528688372e-02,1.682402165310524222e-01,1.469565520707327988e-01,-3.235366972895242776e-02
4.000000000000000083e-02,-1.929832460058465760e+00,-1.379814178757544196e+00,-8.674362720708531649e-01,-2.242162196814244002e+00,-2.054248395282672224e+00,1.524302543310152469e+00,3.034253304641695848e-01,9.092157757874694823e-01,-7.300150100888093130e-01,-2.176414396670815488e-01,-6.269701984698122788e-01,4.445838795605248916e-03,5.782754463442102422e-01,-1.888412755517145047e+00,-5.713247524248311393e+00,7.411284203449008956e+00,2.983423812034952771e+00,1.255260232184222779e+00,-5.086706344734422958e-01,-7.591634225288749427e+00,5.895344144132795172e+00,9.959096147421929723e-01,-7.548570708130089568e-02,-8.706225019252644692e-01,5.361888279833697257e-02,2.431891493761028367e-01,1.055593268314851813e-01,-6.669633810839066534e-02
5.999999999999999778e-02,-1.910858893992337659e+00,-1.393518779788429196e+00,-8.706875454788817192e-01,-2.255083423175964441e+00,-2.053754935517711822e+00,1.534770754898448608e+00,2.653088642738570258e-01,9.106422918886457607e-01,-6.214947065622719036e-01,-1.878433207687985607e-01,-6.387658559970140759e-01,3.939752787828434966e-02,6.568923425391801629e-01,-1.902752106665582366e+00,3.156590180401709134e+00,6.354791384254556696e+00,1.232394349573284059e-02,-9.830496056285679962e-02,5.819092435059362245e+00,-6.717381756967057527e+00,-6.550495823882540591e+00,1.286651526126821432e+00,-2.432384573428921781e-01,-1.157573156319906760e+00,7.066170609138018588e-02,3.030236465321233252e-01,5.274709260593814231e-02,-5.988833855741680645e-02
8.000000000000000167e-02,-1.892029422945628259e+00,-1.404512770614015915e+00,-8.748307527136985895e-01,-2.267786082618601817e+00,-2.053089231336920673e+00,1.547751200185600418e+00,2.280751022796033978e-01,1.028852599593575778e+00,-5.228171652926723034e-01,-2.383115041056311778e-01,-6.302031326513313214e-01,6.803380411595991162e-02,6.497250139051535811e-01,-1.857699279091649780e+00,8.492909060006887501e+00,3.040245318596491164e-01,-5.550268981338067897e-01,-1.872503126357290881e+00,6.228742782499230302e+00,4.575891873388233222e+00,1.560173305550976686e+01,1.505481368161923905e+00,-4.134639533520074739e-01,-1.348098553172790925e+00,8.005021146926116771e-02,3.045770806248040419e-01,7.278173532526754919e-02,-2.649263804873864397e-02
1.000000000000000056e-01,-1.868468791775612647e+00,-1.414523959065408842e+00,-8.814735185937503381e-01,-2.280267885011206808e+00,-2.051385398814591365e+00,1.560414109443507114e+00,1.913554481171946542e-01,1.184514327506935860e+00,-4.804081619797523350e-01,-3.481350169813978157e-01,-6.191928466810479037e-01,9.667361315336139849e-02,6.461118088733924791e-01,-1.865109463917964172e+00,1.009238777122513220e+01,-3.938571952404180454e+00,-2.110608803059232041e+00,-1.158618750093475258e+00,1.221341180451768871e+00,1.726463297923830353e+01,-1.590552171077958832e+01,1.577894942071708773e+00,-6.149162688433446045e-01,-1.514167189695898363e+00,1.405173271351229103e-01,3.056247516271050069e-01,7.675677042591029509e-02,-1.134824107560487155e-01
1.199999999999999956e-01,-1.844298270605317702e+00,-1.424000145884476209e+00,-8.886332235539247115e-01,-2.292335819175969291e+00,-2.048822631491304058e+00,1.574068865696252262e+00,1.540430078694598193e-01,1.375757582544857138e+00,-5.070196486916128675e-01,-4.633443307361500563e-01,-6.027554636129780485e-01,1.090922297724878781e-01,6.408110511067390824e-01,-1.846063549635626355e+00,1.017747834486296377e+01,-1.675333631572635040e+00,-6.793599790977752129e+00,3.363124474697390287e+00,-7.783380468209672998e+00,1.208443818034950823e+00,-3.789559374520901969e+00,1.569337170940502846e+00,-7.201132201342395067e-01,-1.597005261409154553e+00,1.358914848532296604e-01,3.014331958230150321e-01,3.567661730260614228e-02,-7.668733183192279201e-02
1.400000000000000133e-01,-1.813854913500527077e+00,-1.434988315422508931e+00,-8.998868876690605534e-01,-2.304291527218377933e+00,-2.045780582524933777e+00,1.585761310605610985e+00,1.170616566263872060e-01,1.560662028373068333e+00,-5.761160462205178190e-01,-6.015293427348429312e-01,-6.158029415312913368e-01,1.649797240646311558e-01,6.243053035170478271e-01,-1.847347891326978742e+00,7.940504606642472929e+00,-3.672487555601841258e+00,-9.511339665806040955e+00,-1.234930201011149364e+00,1.594609310566419635e+00,1.276027522615853727e+01,-1.344404479871779046e+01,1.500413398477618676e+00,-7.567137494926009511e-01,-1.611179782818341177e+00,1.370648891173664452e-01,2.812761119478164873e-01,5.003497545078323949e-02,-9.041827656025419602e-02
1.600000000000000033e-01,-1.780532706042414315e+00,-1.447119168017564350e+00,-9.140104487932908528e-01,-2.316939890996649432e+00,-2.042719588652563978e+00,1.599139385196251650e+00,8.065868490458336093e-02,1.708476860559489330e+00,-6.650935794554282410e-01,-7.608235313475033568e-01,-6.017641821819231795e-01,1.703023123661165095e-01,5.818417065450135484e-01,-1.835762779353755203e+00,6.178470334867736113e+00,-3.110372035532912971e+00,-8.377325117643783514e+00,1.307965073384386390e+00,1.585542753057110010e+00,-4.671201244114057793e+00,-2.438572360811540563e+01,1.468366481393724277e+00,-7.819058744230161784e-01,-1.566969548262533207e+00,1.374827135437524939e-01,2.784263630516186638e-01,5.680647537671652814e-02,-1.325734307997246120e-01
1.799999999999999933e-01,-1.745957224289100829e+00,-1.462035440615198745e+00,-9.311023863021307134e-01,-2.328951499287234217e+00,-2.038494068615214871e+00,1.610490772262269665e+00,4.373550188316423226e-02,1.842049119428039283e+00,-7.824377253264636067e-01,-9.002774711701385657e-01,-5.980371878987911227e-01,1.927436430353961505e-01,5.761772066287925709e-01,-1.859809552682670786e+00,6.113102645924829659e+00,-5.298531124712229534e+00,-4.633287952519263619e+00,1.421265780987421623e+00,3.657069911407521134e-01,-4.831088778824285335e+00,-3.716079821193350341e+01,1.308232123397361502e+00,-7.043728643060084282e-01,-1.469077378195681183e+00,1.757894788255265073e-01,2.411433841918038112e-01,6.667371764595675376e-02,-1.353779243003043753e-01
2.000000000000000111e-01,-1.708108331465266305e+00,-1.479076416362641311e+00,-9.510393181039632493e-01,-2.341192601043095678e+00,-2.034129145905696046e+00,1.622318475844429564e+00,7.861565144757136012e-03,1.952133263118434714e+00,-8.831145772259610949e-01,-1.022021795269666633e+00,-5.834637052345645891e-01,1.982545153056849696e-01,5.605691899314740878e-01,-1.853117595724496747e+00,4.380656313110177003e+00,-2.909242858446734914e+00,-8.067966130483197773e+00,3.715963145945597290e+00,-4.501525213879938647e+00,1.362975553686150976e+00,-1.143273730355038431e+01,1.181123764499234285e+00,-6.214980165541980073e-01,-1.377872618623815715e+00,2.158235030141049116e-01,2.371123500878401236e-01,7.644026031520635700e-02,-6.910861592208430992e-02
2.200000000000000011e-01,-1.666979586907809896e+00,-1.497555855790415169e+00,-9.714525623092236106e-01,-2.352765279814461152e+00,-2.030768256434358765e+00,1.632660218093877180e+00,-2.866516899933143139e-02,2.050064223357070947e+00,-9.684081041870642448e-01,-1.130308977825360328e+00,-5.720527521951151995e-01,1.946920563805358828e-01,5.613832553248823132e-01,-1.809514423832290664e+00,3.520664296732094023e+00,-2.115478791737652742e+00,-6.444818888594051387e+00,4.589581642977568210e-01,3.114148587233923404e+00,5.214492043760865947e+00,-4.520755745508210355e-01,1.041301152135042152e+00,-5.051634324683628163e-01,-1.248623718701412866e+00,2.271882654780257027e-01,2.777294341861391569e-01,1.023275947496635752e-01,-7.035963560849550769e-02
2.399999999999999911e-01,-1.625833838409238119e+00,-1.517704095721218893e+00,-9.938586030894301926e-01,-2.363452759851039087e+00,-2.025684750658594435e+00,1.643515759876464921e+00,-6.495889276197784612e-02,2.113651227792430642e+00,-1.029169015387645603e+00,-1.212251656203452876e+00,-5.544097883630015877e-01,2.102979527091779488e-01,5.252906704262957360e-01,-1.821535412476024574e+00,1.930355679033547212e+00,-2.415763904653925653e+00,-3.795638201451643656e+00,6.585578494340346145e-01,1.543764967253227649e+00,1.891858625558864970e+00,-9.606456126902253700e+00,8.977831950673063055e-01,-3.877237712076967435e-01,-1.071979443959968359e+00,2.570057803480783609e-01,2.524429582687756080e-01,1.187514294720848490e-01,-2.045247182002827777e-02
2.600000000000000089e-01,-1.582542560668440457e+00,-1.539554901905830553e+00,-1.020335153949825990e+00,-2.374464932320640820e+00,-2.022643041191534152e+00,1.654669568329887541e+00,-1.010233693012871498e-01,2.175505105631006852e+00,-1.083751719703759830e+00,-1.247330289843488371e+00,-5.459973396940148715e-01,2.052340559313293733e-01,5.142504813450685663e-01,-1.809059474421777836e+00,-4.852796039885205470e-01,1.210386645765018976e+00,-3.874143005890360314e+00,1.898780362650650533e+00,2.990197144055572576e+00,-9.929690039145318892e+00,-2.506978742093010837e+01,7.336233930571663953e-01,-2.333094801949723018e-01,-9.813027479774106832e-01,2.618148814328633001e-01,2.661046823153152552e-01,1.160819180923792632e-01,-9.840660017980418228e-02
2.800000000000000266e-01,-1.538479452387579993e+00,-1.561375521572192282e+00,-1.045504350482214795e+00,-2.385308338824169816e+00,-2.017650041603224587e+00,1.664104095123660532e+00,-1.363934468798500554e-01,2.225042930472477032e+00,-1.115307298802665992e+00,-1.277165907506041753e+00,-5.263940562232458653e-01,2.089994567162818395e-01,5.052190302970226421e-01,-1.720271025159248124e+00,2.616016863787747671e+00,-2.364723039771480462e+00,-1.772251663205409278e+00,5.777508773539874465e-01,-1.403645770885442401e+00,2.995095191806687041e+00,3.022219023081266442e+01,6.223442602355798714e-01,-1.474588028963020603e-01,-8.497032029856976809e-01,2.996838577059695030e-01,2.650955674621433555e-01,1.987237501169062670e-01,-2.985538287915890168e-02
2.999999999999999889e-01,-1.493385519875983336e+00,-1.583500593617844565e+00,-1.070276565164508975e+00,-2.395149531713116176e+00,-2.014565858708095902e+00,1.674282631928107001e+00,-1.714653598941825730e-01,2.257679759547030152e+00,-1.121997124964379644e+00,-1.290546940025246281e+00,-5.108303396871183288e-01,2.247230588287671138e-01,5.369035859548705325e-01,-1.770708877894867417e+00,-1.408075071489627572e-01,-1.241701882456936329e-01,-5.637734918233215931e-01,1.077959240452454948e+00,2.841515555986505459e-02,2.368104605043402699e+00,-1.487077976301987015e+01,4.857275606408424373e-01,-2.237169460763199086e-02,-7.587828804262568561e-01,2.611596848011805139e-01,2.620232328486639117e-01,1.482064787726550537e-01,-5.486212805231552997e-02
