t,q1,q2,dq1,dq2,ddq1,ddq2
0.000000000000000000e+00,1.577649543597448023e-02,-7.466813560892238133e-03,-7.413462183917537418e-01,-2.728702947348507823e+00,-2.627786324749760372e+00,-9.448740243779222281e-01
1.000000000000000021e-02,8.231677158485828372e-03,-3.480044659178083144e-02,-7.676135727351793836e-01,-2.737959378265504284e+00,-2.625467800320270939e+00,-9.063059832627746726e-01
2.000000000000000042e-02,4.243229128729764099e-04,-6.222470498695492624e-02,-7.938512496729798196e-01,-2.746826973420856799e+00,-2.621851881122482020e+00,-8.671098782858622789e-01
2.999999999999999889e-02,-7.645205763661344633e-03,-8.973566928796708475e-02,-8.200463075190539408e-01,-2.755299543057639688e+00,-2.616945132959846099e+00,-8.273039548476797123e-01
4.000000000000000083e-02,-1.597641825667001081e-02,-1.173293590579265466e-01,-8.461858736408653936e-01,-2.763371081924802741e+00,-2.610754799820928618e+00,-7.869068667145351359e-01
5.000000000000000278e-02,-2.456869559881214027e-02,-1.450017347467744411e-01,-8.722571512130281590e-01,-2.771035773300143390e+00,-2.603288798162766149e+00,-7.459376638376403745e-01
5.999999999999999778e-02,-3.342129126144810503e-02,-1.727486995961761973e-01,-8.982474259118347071e-01,-2.778287992890159153e+00,-2.594555710817175509e+00,-7.044157799111194773e-01
7.000000000000000666e-02,-4.253333201286912946e-02,-2.005661015827839844e-01,-9.241440725469780570e-01,-2.785122312604215278e+00,-2.584564780524062577e+00,-6.623610196772308223e-01
8.000000000000000167e-02,-5.190381884251393796e-02,-2.284497353986034707e-01,-9.499345616267642622e-01,-2.791533504200521598e+00,-2.573325903095993183e+00,-6.197935459872374597e-01
8.999999999999999667e-02,-6.153162795049044176e-02,-2.563953444671698279e-01,-9.756064658531384826e-01,-2.797516542801551154e+00,-2.560849620218498934e+00,-5.767338666265362512e-01
1.000000000000000056e-01,-7.141551180168054236e-02,-2.843986229942132571e-01,-1.001147466542917419e+00,-2.803066610276549131e+00,-2.547147111890823545e+00,-5.332028209128013563e-01
1.100000000000000006e-01,-8.155410024367504285e-02,-3.124552180514786892e-01,-1.026545359971653859e+00,-2.808179098488940095e+00,-2.532230188512001323e+00,-4.892215660760459439e-01
1.199999999999999956e-01,-9.194590168774419148e-02,-3.405607316923323635e-01,-1.051788063636597492e+00,-2.812849612406473909e+00,-2.516111282617384592e+00,-4.448115634296482823e-01
1.300000000000000044e-01,-1.025893043520194059e-01,-3.687107230977770267e-01,-1.076863622435314749e+00,-2.817073973072076409e+00,-2.498803440270934040e+00,-3.999945643415215302e-01
1.400000000000000133e-01,-1.134825775660252001e-01,-3.969007107514700983e-01,-1.101760214756515310e+00,-2.820848220433457509e+00,-2.480320312118784898e+00,-3.547925960147399471e-01
1.499999999999999944e-01,-1.246238731356667517e-01,-4.251261746423232180e-01,-1.126466158479752844e+00,-2.824168616029603562e+00,-2.460676144109807062e+00,-3.092279470870516467e-01
1.600000000000000033e-01,-1.360112267677441866e-01,-4.533825584932459907e-01,-1.150969916880693500e+00,-2.827031645532402937e+00,-2.439885767889055312e+00,-2.633231530588271974e-01
1.700000000000000122e-01,-1.476425595530349300e-01,-4.816652720145716549e-01,-1.175260104438700104e+00,-2.829434021141735478e+00,-2.417964590870220754e+00,-2.171009815591129488e-01
1.799999999999999933e-01,-1.595156795069493927e-01,-5.099696931806972922e-01,-1.199325492543569682e+00,-2.831372683832449333e+00,-2.394928585993348680e+00,-1.705844174595420593e-01
1.900000000000000022e-01,-1.716282831667367559e-01,-5.382911705284451065e-01,-1.223155015098297937e+00,-2.832844805451760983e+00,-2.370794281174303020e+00,-1.237966478459779363e-01
2.000000000000000111e-01,-1.839779572441871125e-01,-5.666250254756445282e-01,-1.246737774014823774e+00,-2.833847790665700028e+00,-2.345578748452605833e+00,-7.676104685784018722e-02
2.099999999999999922e-01,-1.965621803327411710e-01,-5.949665546584190778e-01,-1.270063044599775370e+00,-2.834379278753325959e+00,-2.319299592844483726e+00,-2.950116040515460281e-02
2.200000000000000011e-01,-2.093783246678979637e-01,-6.233110322856487695e-01,-1.293120280827301238e+00,-2.834437145247552081e+00,-2.291974940908088509e+00,1.795930922655447626e-02
2.300000000000000100e-01,-2.224236579397719793e-01,-6.516537125090701155e-01,-1.315899120496139885e+00,-2.834019503421489450e+00,-2.263623429028061018e+00,6.559651887333489695e-02
2.399999999999999911e-01,-2.356953451566319857e-01,-6.799898318074623083e-01,-1.338389390268167611e+00,-2.833124705619365802e+00,-2.234264191426745150e+00,1.133865000815889312e-01
2.500000000000000000e-01,-2.491904505582215879e-01,-7.083146113833613811e-01,-1.360581110585721509e+00,-2.831751344431130857e+00,-2.203916847909507037e+00,1.613051747782448531e-01
2.600000000000000089e-01,-2.629059395776349728e-01,-7.366232595707371544e-01,-1.382464500465074408e+00,-2.829898253710001921e+00,-2.172601491351806580e+00,2.093283710119572538e-01
2.700000000000000178e-01,-2.768386808504984531e-01,-7.649109742520570077e-01,-1.404029982163526924e+00,-2.827564509432280104e+00,-2.140338674935764463e+00,2.574318387549183185e-01
2.800000000000000266e-01,-2.909854482701797473e-01,-7.931729452831546290e-01,-1.425268185717639247e+00,-2.824749430398898031e+00,-2.107149399144145452e+00,3.055912657548285338e-01
2.899999999999999800e-01,-3.053429230877264811e-01,-8.214043569243247855e-01,-1.446169953350231907e+00,-2.821452578778231413e+00,-2.073055098519803074e+00,3.537822934265506536e-01
2.999999999999999889e-01,-3.199076960552083015e-01,-8.496003902760493887e-01,-1.466726343743831595e+00,-2.817673760489844081e+00,-2.038077628198761815e+00,4.019805327729303324e-01
3.099999999999999978e-01,-3.346762696111157398e-01,-8.777562257177621285e-01,-1.486928636178361351e+00,-2.813413025428920911e+00,-2.002239250225250178e+00,4.501615803242589031e-01
3.200000000000000067e-01,-3.496450601064498009e-01,-9.058670453480648366e-01,-1.506768334530916409e+00,-2.808670667531260268e+00,-1.965562619657099663e+00,4.983010340858495257e-01
3.300000000000000155e-01,-3.648104000701088978e-01,-9.339280354247925242e-01,-1.526237171135590209e+00,-2.803447224678790484e+00,-1.928070770470071693e+00,5.463745094831744531e-01
3.400000000000000244e-01,-3.801685405121688066e-01,-9.619343888033387024e-01,-1.545327110501365064e+00,-2.797743478445691601e+00,-1.889787101269748026e+00,5.943576552940319502e-01
3.500000000000000333e-01,-3.957156532636224577e-01,-9.898813073716459243e-01,-1.564030352886205399e+00,-2.791560453685306253e+00,-1.850735360819768527e+00,6.422261695572105689e-01
3.599999999999999867e-01,-4.114478333511327746e-01,-1.017764004480267159e+00,-1.582339337725543693e+00,-2.784899417958122569e+00,-1.810939633395265647e+00,6.899558154471356897e-01
3.699999999999999956e-01,-4.273611014053386725e-01,-1.045577707365919373e+00,-1.600246746913470908e+00,-2.777761880801223882e+00,-1.770424323970456015e+00,7.375224371040163263e-01
3.800000000000000044e-01,-4.434514061012264641e-01,-1.073317659566936255e+00,-1.617745507935006710e+00,-2.770149592839710184e+00,-1.729214143249441893e+00,7.849019754090209577e-01
3.900000000000000133e-01,-4.597146266290744743e-01,-1.100979123329048903e+00,-1.634828796847932253e+00,-2.762064544740675753e+00,-1.687334092549352738e+00,8.320704836940661098e-01
4.000000000000000222e-01,-4.761465751944581881e-01,-1.128557381999923948e+00,-1.651490041112758211e+00,-2.753508966010467240e+00,-1.644809448545036856e+00,8.790041433758393197e-01
4.100000000000000311e-01,-4.927429995457892620e-01,-1.156047742410890145e+00,-1.667722922269481156e+00,-2.744485323636016272e+00,-1.601665747884586599e+00,9.256792795037208643e-01
4.199999999999999845e-01,-5.094995855278505736e-01,-1.183445537244307566e+00,-1.683521378459890583e+00,-2.734996320571175588e+00,-1.557928771685054725e+00,9.720723762113383515e-01
4.299999999999999933e-01,-5.264119596597784945e-01,-1.210746127385023074e+00,-1.698879606794273300e+00,-2.725044894069055701e+00,-1.513624529917760864e+00,1.018160092061538124e+00
4.400000000000000022e-01,-5.434756917359285788e-01,-1.237944904254389744e+00,-1.713792065561459799e+00,-2.714634213861488732e+00,-1.468779245692676039e+00,1.063919275274644693e+00
4.500000000000000111e-01,-5.606862974480559814e-01,-1.265037292125318125e+00,-1.728253476281244705e+00,-2.703767680186837108e+00,-1.423419339451381660e+00,1.109326978829936472e+00
4.600000000000000200e-01,-5.780392410272245929e-01,-1.292018750416851658e+00,-1.742258825598326011e+00,-2.692448921667467854e+00,-1.377571413078184204e+00,1.154360475430367128e+00
4.700000000000000289e-01,-5.955299379038658802e-01,-1.318884775966777667e+00,-1.755803367016981031e+00,-2.680681793038289129e+00,-1.331262233938970807e+00,1.198997272320643237e+00
4.799999999999999822e-01,-6.131537573843794942e-01,-1.345630905280775558e+00,-1.768882622475810740e+00,-2.668470372727897555e+00,-1.284518718857451614e+00,1.243215125948864630e+00
4.899999999999999911e-01,-6.309060253426820308e-01,-1.372252716756653168e+00,-1.781492383761976050e+00,-2.655818960293921727e+00,-1.237367918038436931e+00,1.286992056462036960e+00
5.000000000000000000e-01,-6.487820269250941241e-01,-1.398745832882213991e+00,-1.793628713764439553e+00,-2.642732073714285423e+00,-1.189836998947832569e+00,1.330306362025887257e+00
5.100000000000000089e-01,-6.667770092669516035e-01,-1.425105922405322412e+00,-1.805287947565834994e+00,-2.629214446536184635e+00,-1.141953230159053589e+00,1.373136632959504499e+00
5.200000000000000178e-01,-6.848861842193278981e-01,-1.451328702474752985e+00,-1.816466693372667418e+00,-2.615271024884694206e+00,-1.093743965175546506e+00,1.415461765675471328e+00
5.300000000000000266e-01,-7.031047310842502007e-01,-1.477409940750437745e+00,-1.827161833283664549e+00,-2.600906964332968307e+00,-1.045236626239135713e+00,1.457260976416267173e+00
5.400000000000000355e-01,-7.214277993567882463e-01,-1.503345457481729097e+00,-1.837370523896181940e+00,-2.586127626636152144e+00,-9.964586881338943769e-01,1.498513814777871156e+00
5.500000000000000444e-01,-7.398505114723978870e-01,-1.529131127552326719e+00,-1.847090196750656776e+00,-2.570938576331143199e+00,-9.474376619952291634e-01,1.539200177011601278e+00
5.600000000000000533e-01,-7.583679655578987600e-01,-1.554762882490545950e+00,-1.856318558613230696e+00,-2.555345577204485519e+00,-8.982010791338588263e-01,1.579300319095422456e+00
5.700000000000000622e-01,-7.769752381844734490e-01,-1.580236712443613190e+00,-1.865053591596717464e+00,-2.539354588630741816e+00,-8.487764748843438234e-01,1.618794869566053451e+00
5.799999999999999600e-01,-7.956673871210636628e-01,-1.605548668114705313e+00,-1.873293553120224386e+00,-2.522971761783775690e+00,-7.991913724878014769e-01,1.657664842103393266e+00
5.899999999999999689e-01,-8.144394540865623755e-01,-1.630694862661481226e+00,-1.881036975707807812e+00,-2.506203435723454831e+00,-7.494732670183932299e-01,1.695891647858944307e+00
5.999999999999999778e-01,-8.332864674991863341e-01,-1.655671473554864104e+00,-1.888282666626656559e+00,-2.489056133360396217e+00,-6.996496093631587865e-01,1.733457107520065765e+00
6.099999999999999867e-01,-8.522034452214328759e-01,-1.680474744396876385e+00,-1.895029707365376126e+00,-2.471536557301414749e+00,-6.497477902646957570e-01,1.770343463102075798e+00
6.199999999999999956e-01,-8.711853972990213357e-01,-1.705100986696339804e+00,-1.901277452953054947e+00,-2.453651585578444649e+00,-5.997951244361635625e-01,1.806533389460394545e+00
6.300000000000000044e-01,-8.902273286922331996e-01,-1.729546581601299593e+00,-1.907025531119884265e+00,-2.435408267263777127e+00,-5.498188347580079682e-01,1.842010005515102300e+00
6.400000000000000133e-01,-9.093242419980676061e-01,-1.753807981587038656e+00,-1.912273841300186961e+00,-2.416813817974513334e+00,-4.998460365657717563e-01,1.876756885180474788e+00
6.500000000000000222e-01,-9.284711401616470017e-01,-1.777881712098598355e+00,-1.917022553478824332e+00,-2.397875615269232874e+00,-4.499037220382471336e-01,1.910758067992260223e+00
6.600000000000000311e-01,-9.476630291753040947e-01,-1.801764373146739429e+00,-1.921272106882017994e+00,-2.378601193939927416e+00,-4.000187446952012671e-01,1.943998069425641351e+00
6.700000000000000400e-01,-9.668949207638068977e-01,-1.825452640856310760e+00,-1.925023208513745976e+00,-2.358998241202332480e+00,-3.502178040137926551e-01,1.976461890897051266e+00
