t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
0.000000000000000000e+00,-9.100982405861147706e-01,-1.795959962627375450e+00,-6.313600477132677025e-01,-8.058515540071561345e-01,-3.003574536752928736e-02,2.149727814083624011e-01,-5.783071140261530907e-01,-1.266880178094443588e-01
9.999999999999786837e-03,-9.163430347511192231e-01,-1.803697170219759727e+00,-6.316511770137279713e-01,-8.036948805314015898e-01,-2.819239962226224860e-02,2.163595290995412035e-01,-5.799677112875502027e-01,-1.264690025509383198e-01
1.999999999999957367e-02,-9.225905923345676385e-01,-1.811412767614495545e+00,-6.319239359304846815e-01,-8.015244059183048719e-01,-2.636162410807338027e-02,2.177329978763353213e-01,-5.816359483756764481e-01,-1.262478032195941680e-01
2.999999999999936051e-02,-9.288407517848839001e-01,-1.819106805420277029e+00,-6.321784489289588027e-01,-7.993402632545807407e-01,-2.454317143138500662e-02,2.190931291176366758e-01,-5.833117576816013727e-01,-1.260244989125211268e-01
3.999999999999914735e-02,-9.350933522444776491e-01,-1.826779330906123322e+00,-6.324148380007568182e-01,-7.971425861886239916e-01,-2.273679428496671456e-02,2.204398690778263115e-01,-5.849950706677746748e-01,-1.257991697692227018e-01
4.999999999999893419e-02,-9.413482335182732363e-01,-1.834430387940054974e+00,-6.326332226662487734e-01,-7.949315088825981146e-01,-2.094224578907970952e-02,2.217731687184364420e-01,-5.866858179172527166e-01,-1.255718969280747443e-01
5.999999999999872102e-02,-9.476052360429807475e-01,-1.842060016933668498e+00,-6.328337199804909829e-01,-7.927071659662107139e-01,-1.915927981899236132e-02,2.230929835388693605e-01,-5.883839291803291127e-01,-1.253427624828499232e-01
6.999999999999850786e-02,-9.538642008571289743e-01,-1.849668254792496525e+00,-6.330164445423817066e-01,-7.904696924921719159e-01,-1.738765132383603140e-02,2.243992734090314856e-01,-5.900893334186259054e-01,-1.251118494393172187e-01
7.999999999999829470e-02,-9.601249695718838684e-01,-1.857255134872097591e+00,-6.331815085069333326e-01,-7.882192238933389827e-01,-1.562711663169489423e-02,2.256920023984696488e-01,-5.918019588466469916e-01,-1.248792416719461396e-01
8.999999999999808153e-02,-9.663873843426433741e-01,-1.864820686939739014e+00,-6.333290216005666995e-01,-7.859558959415714474e-01,-1.387743374881043011e-02,2.269711386069515058e-01,-5.935217329708449840e-01,-1.246450238807490229e-01
9.999999999999786837e-02,-9.726512878414578234e-01,-1.872364937141613783e+00,-6.334590911393315205e-01,-7.836798447082710117e-01,-1.213836264527018080e-02,2.282366539959054808e-01,-5.952485826261810775e-01,-1.244092815483047315e-01
1.099999999999976552e-01,-9.789165232302655673e-01,-1.879887907975469341e+00,-6.335718220499382269e-01,-7.813912065266197526e-01,-1.040966553284044561e-02,2.294885242168917538e-01,-5.969824340102050098e-01,-1.241721008969984830e-01
1.199999999999974420e-01,-9.851829341349643832e-01,-1.887389618268550784e+00,-6.336673168935316180e-01,-7.790901179555205225e-01,-8.691107133196774789e-03,2.307267284440691624e-01,-5.987232127146643323e-01,-1.239335688464934110e-01
1.299999999999972289e-01,-9.914503646203340903e-01,-1.894870083160760998e+00,-6.337456758920825273e-01,-7.767767157452258875e-01,-6.982454935772663268e-03,2.319512492022220984e-01,-6.004708437546534272e-01,-1.236937729714402967e-01
1.399999999999970157e-01,-9.977186591658099291e-01,-1.902329314092920498e+00,-6.338069969573111306e-01,-7.744511368046830269e-01,-5.283479444673749859e-03,2.331620721972012533e-01,-6.022252515953162577e-01,-1.234528014594226258e-01
1.499999999999968026e-01,-1.003987662642124246e+00,-1.909767318800034364e+00,-6.338513757220396450e-01,-7.721135181705810480e-01,-3.593954418540903223e-03,2.343591861444223878e-01,-6.039863601761343848e-01,-1.232107430691157524e-01
1.599999999999965894e-01,-1.010257220288821145e+00,-1.917184101309431066e+00,-6.338789055738968115e-01,-7.697639969780819547e-01,-1.913657100450257302e-03,2.355425826038033688e-01,-6.057540929328075752e-01,-1.229676870886335927e-01
1.699999999999963762e-01,-1.016527177692670980e+00,-1.924579661943681241e+00,-6.338896776912710251e-01,-7.674027104332018512e-01,-2.423684383473885735e-04,2.367122558163121948e-01,-6.075283728167609754e-01,-1.227237232940383838e-01
1.799999999999961631e-01,-1.022797380766927944e+00,-1.931953997328155648e+00,-6.338837810814320628e-01,-7.650297957867945309e-01,1.420126702177840466e-03,2.378682025441775927e-01,-6.093091223122448774e-01,-1.224789419079724134e-01
1.899999999999959499e-01,-1.029067675731534015e+00,-1.939307100403143247e+00,-6.338613026207269296e-01,-7.626453903101296783e-01,3.074039335276175077e-03,2.390104219149864484e-01,-6.110962634510379576e-01,-1.222334335583597636e-01
1.999999999999957367e-01,-1.035337909094193432e+00,-1.946638960440372879e+00,-6.338223270967683343e-01,-7.602496312720076199e-01,4.719576159328101560e-03,2.401389152665018289e-01,-6.128897178247293409e-01,-1.219872892371202111e-01
2.099999999999955236e-01,-1.041607927632356434e+00,-1.953949563063841488e+00,-6.337669372525299716e-01,-7.578426559174287203e-01,6.356939371148613398e-03,2.412536859940356826e-01,-6.146894065945542884e-01,-1.217406002588266867e-01
2.199999999999953104e-01,-1.047877578376101848e+00,-1.961238890274837221e+00,-6.336952138322550221e-01,-7.554246014477697946e-01,7.986326489211364316e-03,2.423547393997632915e-01,-6.164952504987576409e-01,-1.214934582192487428e-01
2.299999999999950973e-01,-1.054146708591939374e+00,-1.968506920480990408e+00,-6.336072356290882723e-01,-7.529956050024735337e-01,9.607930185145149848e-03,2.434420825417333012e-01,-6.183071698574477137e-01,-1.212459549537373144e-01
2.399999999999948841e-01,-1.060415165767505608e+00,-1.975753628529281158e+00,-6.335030795343358223e-01,-7.505558036422192991e-01,1.122193812758046257e-02,2.445157240880674043e-01,-6.201250845749349816e-01,-1.209981824954434182e-01
2.499999999999946709e-01,-1.066682797597185983e+00,-1.982978985742849032e+00,-6.333828205882543472e-01,-7.481053343335649641e-01,1.282853283238097851e-02,2.455756741681075495e-01,-6.219489141395739829e-01,-1.207502330333555945e-01
